ID,DATE,SYSTEM_id,SIZE,LOAD_TPD,ACCOUNTS_ALL,ACCOUNTS_ACTIVE,Non_kept_size,Backup_size,LongOps_min
1,Sep-2019,1,9100,10000000,520000,495005,116,5960,470
2,Oct-2019,1,9180,10200000,540000,515780,121,5990,471
3,Nov-2019,1,9270,10400000,560000,536555,125,6050,469
4,Dec-2019,1,9350,10700000,580000,567331,130,6100,472
5,Jan-2020,1,9440,10000000,650000,603106,140,6130,470
6,Feb-2020,1,9520,11500000,680000,628882,142,6190,473
7,Mar-2020,1,9600,11900000,710000,644657,146,6240,471
8,Apr-2020,1,9690,12200000,750000,690432,150,6300,475
9,May-2020,1,9770,12000000,770000,736207,152,6350,469
10,Jun-2020,1,9860,12500000,810000,751983,156,6409,472
11,Jul-2020,1,9940,12700000,840000,777758,160,6460,465
12,Aug-2020,1,10020,12900000,880000,803533,166,6520,461
13,Sep-2020,1,10100,12800000,910000,839308,170,6570,457
14,Oct-2020,1,10190,13000000,950000,885084,177,6630,462
15,Nov-2020,1,10270,13500000,990000,910859,184,6670,458
16,Dec-2020,1,10350,13700000,1020000,956634,190,6730,460
17,Jan-2021,1,10440,14000000,1080000,1002409,196,6790,463
18,Feb-2021,1,10530,13800000,1110000,1048184,200,6860,454
19,Mar-2021,1,10610,13900000,1160000,1121516,202,6900,462
20,Apr-2021,1,10690,13800000,1210000,1159291,207,6950,457
21,May-2021,1,10780,14100000,1240000,1177066,211,7010,461
22,Jun-2021,1,10860,14200000,1270000,1194841,216,7060,455
23,Jul-2021,1,10950,14400000,1310000,1252617,221,7120,460
24,Aug-2021,1,11030,15700000,1350000,1310392,226,7170,458
25,Sep-2021,1,11110,15500000,1390000,1368167,231,7220,462
26,Oct-2021,1,11200,16000000,1440000,1425942,235,7280,450
27,Nov-2021,1,11280,17000000,1500000,1483718,240,7330,435
28,Dec-2021,1,11360,17800000,1557000,1540000,245,7380,440
29,Jan-2022,1,6500,19000000,1670000,1650000,70,4230,437
30,Feb-2022,1,6570,20000000,1700000,1700000,71,4280,455
31,Mar-2022,1,6630,21000000,1740000,1730000,73,4320,151
32,Apr-2022,1,6720,22000000,1830000,1800000,75,4380,151
33,May-2022,1,6840,23500000,1870000,1850000,76,4450,163
34,Jun-2022,1,6900,23600000,1910000,1900000,78,4490,168
35,Jul-2022,1,6960,23700000,1950000,1940000,80,4520,158
36,Aug-2022,1,7010,24500000,1985000,1980000,83,4560,178
37,Sep-2022,1,7100,24400000,2030000,2020000,86,4620,180
38,Oct-2022,1,7180,25500000,2085000,2080000,90,4670,203
39,Nov-2022,1,7230,25600000,2135000,2130000,93,4700,202
40,Dec-2022,1,7350,28000000,2185000,2185000,96,4770,189
41,Jan-2023,1,7410,25200000,2260000,2260000,100,4820,215
42,Feb-2023,1,7470,24300000,2320000,2320000,103,4860,214
43,Mar-2023,1,7600,28300000,2375000,2375000,106,4940,217
44,Apr-2023,1,7660,27000000,2450000,2450000,110,4970,168
45,May-2023,1,7790,30200000,2510000,2510000,113,5060,180
46,Jun-2023,1,7850,29500000,2575000,2575000,117,5100,195
47,Jul-2023,1,7970,32000000,2650000,2650000,120,5180,197
48,Aug-2023,1,8090,35000000,2730000,2730000,123,5260,117
49,Sep-2023,1,8210,38000000,2830000,2830000,126,5340,95
50,Oct-2023,1,8300,40000000,2865000,2865000,130,5390,79
